folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,ecg,Has electrocardiogram (ECG) data (Sleep Heart Health Study Visit One (SHHS1)),"",choices,"",noyes01,ekg,"","",""
Administrative,shhs1_ae,Has Sleep Heart Health Study Visit One (SHHS1) Adverse Event form,"",choices,"",noyes01,"","","",""
Administrative,shhs1_all,Has all Sleep Heart Health Study Visit One (SHHS1) forms,"",choices,"",noyes01,"","","",""
Administrative,shhs1_avars,Has Sleep Heart Health Study Visit One (SHHS1) A-variables,"",choices,"",noyes01,"","","",""
Administrative,shhs1_bp,Has Sleep Heart Health Study Visit One (SHHS1) Blood Pressure (BP) form,"",choices,"",noyes01,"","","",""
Administrative,shhs1_cf,Has Sleep Heart Health Study Visit One (SHHS1) Contact form,"",choices,"",noyes01,"","","",""
Administrative,shhs1_hi,Has Sleep Heart Health Study Visit One (SHHS1) Health Interview form,"",choices,"",noyes01,"","","",""
Administrative,shhs1_meds,Has Sleep Heart Health Study Visit One (SHHS1) Medications form,"",choices,"",noyes01,"","","",""
Administrative,shhs1_ms,Has Sleep Heart Health Study Visit One (SHHS1) Morning Survey form,"",choices,"",noyes01,"","","",""
Administrative,shhs1_psg,Has Sleep Heart Health Study Visit One (SHHS1) Polysomnography (PSG) record,"",choices,"",noyes01,"","","",""
Administrative,shhs1_qa,Has Sleep Heart Health Study Visit One (SHHS1) Quality form,"",choices,"",noyes01,"","","",""
Administrative,shhs1_qc,Has Sleep Heart Health Study Visit One (SHHS1) Sleep Study QC form,"",choices,"",noyes01,"","","",shhs1_sleep_data_quality_assessment_and_preliminary_report_form
Administrative,shhs1_ql,Has Sleep Heart Health Study Visit One (SHHS1) Quality of Life (QOL) form,"",choices,"",noyes01,"","","",""
Administrative,shhs1_sdr,Has Sleep Heart Health Study Visit One (SHHS1) Sleep Data Retrieval form,"",choices,"",noyes01,"","","",""
Administrative,shhs1_sh,Has Sleep Heart Health Study Visit One (SHHS1) Sleep Habits form,"",choices,"",noyes01,"","","",""
Administrative,shhs1_tcvd,Has Sleep Heart Health Study Visit One (SHHS1) Tuscon Cardiovascular Disease (CVD) data,"",choices,"",noyes01,"","","",""
Administrative,shhs2_all,Has all Sleep Heart Health Study Visit Two (SHHS2) Forms,"",choices,"",noyes01,"","","",""
Administrative,shhs2_hi,Has Sleep Heart Health Study Visit Two (SHHS2) Health Interview form,"",choices,"",noyes01,"","","",""
Administrative,shhs2_meds,Has Sleep Heart Health Study Visit Two (SHHS2) Medications form,"",choices,"",noyes01,"","","",""
Administrative,shhs2_ms,Has Sleep Heart Health Study Visit Two (SHHS2) Morning Survey,"",choices,"",noyes01,"","","",""
Administrative,shhs2_pm,Has Sleep Heart Health Study Visit Two (SHHS2) Physical Measurements form,"",choices,"",noyes01,"","","",""
Administrative,shhs2_psg,Has Sleep Heart Health Study Visit Two (SHHS2) Polysomnography (PSG) record,"",choices,"",noyes01,"","","",""
Administrative,shhs2_ql,Has Sleep Heart Health Study Visit Two (SHHS2) Quality of Life (QOL) form,"",choices,"",noyes01,"","","",""
Administrative,shhs2_sh,Has Sleep Heart Health Study Visit Two (SHHS2) Sleep Habits form,"",choices,"",noyes01,"","","",""
Administrative,visitnumber,Sleep Heart Health Study (SHHS) Visit Number,"",choices,"",visitnumber,one;two;2;1,"",true,""
CVD Outcomes,afibincident,Incident Atrial Fibrillation (AF) after SHHS Visit 1,"Variable created as part of the analysis for [Tung et al. 2017 (PMID: 28668820)](https://www.ncbi.nlm.nih.gov/pubmed/28668820). Incident AF was considered present if AF was identified on a 12-lead ECG obtained at the second SHHS exam or was adjudicated by the parent cohorts at any time between the baseline PSG and the final follow-up date for AF ascertainment of June 30, 2006.",choices,"",noyes,adjudicated;a-fib,"",true,""
CVD Outcomes,afibprevalent,Prevalent Atrial Fibrillation (AF) at SHHS Visit 1,Variable created as part of the analysis for [Tung et al. 2017 (PMID: 28668820)](https://www.ncbi.nlm.nih.gov/pubmed/28668820). Prevalent AF was defined by any of the following: a positive response to the question 'Has a doctor ever told you that you have or had atrial fibrillation'; AF identified on resting 12-lead ECG at the baseline SHHS exam; or if the parent study identified AF documented in the medical record before the SHHS baseline exam.,choices,"",noyes,adjudicated;a-fib,"",true,""
CVD Outcomes,ang_date,Days to First Angina Episodes Since Baseline,Time since Sleep Heart Health Study Visit One (SHHS 1) Sleep Study to date of first angina pectoris episode,numeric,days from index date,"",adjudicated;tto_angdate; chest pain,"","",""
CVD Outcomes,angina,Number of Angina Episodes Since Baseline,Angina episodes since baseline Polysomnogram (PSG) (as recorded in parent studies datasets),numeric,number of events,"",adjudicated; chest pain,"",true,""
CVD Outcomes,any_chd,Any Coronary Heart Disease (CHD) Since Baseline?,Any Coronary Heart Disease (CHD) since baseline Polysomnogram (PSG) (as recorded in parent studies datasets),choices,"",noyes,adjudicated,"",true,""
CVD Outcomes,any_cvd,Any Cardiovascular Disease (CVD) Since Baseline?,Any Cardiovascular Disease (CVD) since baseline Polysomnogram (PSG) (as recorded in parent studies datasets),choices,"",noyes,adjudicated,"",true,""
CVD Outcomes,cabg,Number of coronary artery bypass graft surgeries (CABGs) Since Baseline,coronary artery bypass graft surgery (CABG) since baseline Polysomnogram (PSG) (as recorded in parent studies datasets),numeric,number of events,"",adjudicated;stent,"",true,""
CVD Outcomes,cabg_date,Days to First coronary artery bypass graft surgery (CABG) Since Baseline,Time since Sleep Heart Health Study Visit One (SHHS 1) Sleep Study to date of first coronary artery bypass graft surgery (CABG),numeric,days from index date,"",adjudicated;tto_cabgdate,"","",""
CVD Outcomes,censdate,Days to Most Recent Contact or Death Since Baseline,Time since Sleep Heart Health Study Visit One (SHHS 1) Sleep Study to date of last contact/death,numeric,days from index date,"",adjudicated;tto_censdate,"","",""
CVD Outcomes,chd_death,Fatal Coronary Heart Disease (CHD) Since Baseline?,Coronary Heart Disease (CHD) death (as recorded in parent studies datasets),choices,"",noyes,adjudicated,"",true,""
CVD Outcomes,chd_dthdt,Days to First Coronary Heart Disease (CHD) Since Baseline,Time since Sleep Heart Health Study Visit One (SHHS 1) Sleep Study to date of Coronary Heart Disease (CHD) death,numeric,days from index date,"",adjudicated;tto_chddthdt,"","",""
CVD Outcomes,chf,Number of Congestive Heart Failures (CHFs) Since to Baseline,Congestive Heart Failure (CHF) since baseline Polysomnogram (PSG) (as recorded in parent studies datasets),numeric,number of events,"",adjudicated,"",true,""
CVD Outcomes,chf_date,Days to First Congestive Heart Failure (CHF) Since Baseline,Time since Sleep Heart Health Study Visit One (SHHS 1) Sleep Study to date of first Congestive Heart Failure (CHF),numeric,days from index date,"",adjudicated;tto_chfdate,"","",""
CVD Outcomes,cvd_death,Fatal Cardiovascular Disease (CVD) Since Baseline?,Cardiovascular Disease (CVD) death (as recorded in parent studies datasets),choices,"",noyes,adjudicated,"",true,""
CVD Outcomes,cvd_dthdt,Days to First Cardiovascular Disease (CVD) Since Baseline,Time since Sleep Heart Health Study Visit One (SHHS 1) Sleep Study to date of Cardiovascular Disease (CVD) death,numeric,days from index date,"",adjudicated;tto_cvddthdt,"","",""
CVD Outcomes,event,Event type,"",choices,"",event_type,"","","",""
CVD Outcomes,event_dt,Days from baseline to first myocardial infarction (MI) or stroke,"",numeric,days,"",heart attack,"","",""
CVD Outcomes,fstk_type,Type of fatal stroke,"",choices,"",fatal_stroke_type,death,"","",""
CVD Outcomes,mi,Number of myocardial infarctions (MIs) Since Baseline,Myocardial infarction (MI) since baseline Polysomnogram (PSG) (as recorded in parent studies datasets),integer,number of events,"",adjudicated;heart attack,"",true,""
CVD Outcomes,mi_date,Days to First myocardial infarction (MI) Since Baseline,Time since Sleep Heart Health Study Visit One (SHHS 1) Sleep Study to date of first myocardial infarction (MI),numeric,days from index date,"",adjudicated;tto_midate;heart attack,"","",""
CVD Outcomes,mi_death,Death from myocardial infarct (MI) since Baseline?,"",choices,"",noyes,adjudicated;mi_fatal;heart attack,"",true,""
CVD Outcomes,mi_fatal,Fatal Heart Attack Since Baseline?,Fatal myocardial infarction (MI) since baseline Polysomnogram (PSG)  (as recorded in parent studies datasets),choices,"",noyes,adjudicated;heart attack,"",true,""
CVD Outcomes,mip,Number of Procedures Related to Heart Attack Since Baseline,Myocardial infarction (MI) procedure since baseline Polysomnogram (PSG)  (as recorded in parent studies datasets),numeric,number of events,"",adjudicated;heart attack,"",true,""
CVD Outcomes,mip_date,Days to First myocardial infarction (MI) Procedure Since Baseline,Time since Sleep Heart Health Study Visit One (SHHS 1) Sleep Study to date of first myocardial infarction (MI) procedure,numeric,days from index date,"",adjudicated;tto_mipdate;heart attack,"","",""
CVD Outcomes,prev_ang,Number of Angina Episodes Prior to Baseline,Angina episodes prior to baseline Polysomnography (PSG) (as recorded in parent studies datasets),numeric,number of events,"",adjudicated;chest pain,"",true,""
CVD Outcomes,prev_chf,Number of Congestive Heart Failure (CHF) episodes Prior to Baseline,Congestive Heart Failure (CHF) episodes prior to baseline Polysomnography (PSG) (as recorded in parent studies datasets),numeric,number of events,"",adjudicated,"",true,""
CVD Outcomes,prev_mi,Number of myocardial infarctions (MIs) Prior to Baseline,Myocardial infarction (MI) prior to baseline Polysomnography (PSG) (as recorded in parent studies datasets),numeric,number of events,"",adjudicated;heart attack,"",true,""
CVD Outcomes,prev_mip,Number of Procedures Related to Heart Attack Prior to Baseline,Myocardial infarction (MI)/procedure prior to baseline Polysomnography (PSG) (as recorded in parent studies datasets),numeric,number of events,"",adjudicated,"",true,""
CVD Outcomes,prev_revpro,Number of Revascularization Procedures Prior to Baseline,Revascularization procedure prior to baseline Polysomnography (PSG) (as recorded in parent studies datasets),numeric,number of events,"",adjudicated;stent,"",true,""
CVD Outcomes,prev_stk,Number of Strokes Prior to Baseline,Stroke prior to baseline Polysomnography (PSG) (as recorded in parent studies datasets),numeric,number of events,"",adjudicated,"",true,""
CVD Outcomes,ptca,Number of Percutaneous transluminal coronary angioplasties (PTCAs) Since Baseline,Percutaneous transluminal coronary angioplasty (PTCA) since baseline Polysomnogram (PSG) (as recorded in parent studies datasets),numeric,number of events,"",adjudicated;stent,"",true,""
CVD Outcomes,ptca_date,Days to First Percutaneous transluminal coronary angioplasty (PTCA) Since Baseline,Time since Sleep Heart Health Study Visit One (SHHS 1) Sleep Study to date of first Percutaneous transluminal coronary angioplasty (PTCA),numeric,days from index date,"",adjudicated;tto_ptcadate,"","",""
CVD Outcomes,revasc_proc,Number of Revascularization Procedures Since Baseline,Revascularization procedure since baseline Polysomnogram (PSG) (as recorded in parent studies datasets),numeric,number of events,"",adjudicated;stent,"",true,""
CVD Outcomes,revpro_date,Days to First Revascularization Procedure Since Baseline,Time since Sleep Heart Health Study Visit One (SHHS 1) Sleep Study to date of first revascularization procedure,numeric,days from index date,"",adjudicated;tto_revprodt,"","",""
CVD Outcomes,stk_date,Days to First Stroke Since Baseline,Time since Sleep Heart Health Study Visit One (SHHS 1) Sleep Study to date of first stroke,numeric,days from index date,"",adjudicated;tto_stkdate,"","",""
CVD Outcomes,stk_fatal,Fatal Stroke Since Baseline?,Fatal stroke since baseline Polysomnogram (PSG) (as recorded in parent studies datasets),choices,"",noyes,adjudicated;death,"",true,""
CVD Outcomes,stk_type,Type of stroke,"",choices,"",stroke_type,"","","",""
